      Skeleton      	num_frames	Actor1	Actor2	Start	End
S001C001P003R001A060	   104    	  28  	  0   	  1  	 1 
S001C002P003R001A059	    90    	  39  	  0   	  1  	 0 
S001C002P003R002A060	    91    	  3   	  0   	  0  	 1 
S001C002P004R002A060	    92    	  8   	  0   	  0  	 1 
S001C002P007R002A055	    71    	  31  	  0   	  0  	 1 
S001C002P007R002A056	    68    	  1   	  0   	  1  	 0 
S001C002P007R002A057	    96    	  1   	  0   	  1  	 0 
S001C002P007R002A058	    61    	  1   	  0   	  1  	 0 
S001C003P002R001A060	    81    	  5   	  0   	  0  	 1 
S001C003P003R001A060	   104    	  11  	  0   	  0  	 1 
S001C003P007R002A060	    77    	  31  	  0   	  1  	 0 
S002C001P003R001A060	    78    	  2   	  0   	  0  	 1 
S002C001P010R001A060	    93    	  18  	  0   	  0  	 1 
S002C001P010R002A060	   101    	  28  	  0   	  0  	 1 
S002C001P013R001A060	    72    	  7   	  0   	  0  	 1 
S002C003P007R002A060	    81    	  4   	  0   	  0  	 1 
S002C003P010R001A060	    94    	  28  	  0   	  1  	 1 
S002C003P010R002A013	   123    	  1   	  0   	  1  	 0 
S002C003P010R002A052	    62    	  1   	  0   	  1  	 0 
S003C001P008R001A060	    91    	  17  	  0   	  0  	 1 
S003C001P018R001A057	    85    	  19  	  0   	  1  	 0 
S003C002P007R001A059	    56    	  5   	  0   	  1  	 0 
S003C002P007R002A056	    80    	  33  	  0   	  1  	 0 
S003C002P007R002A060	    80    	  26  	  4   	  1  	 0 
S003C002P017R002A060	    69    	  2   	  0   	  0  	 1 
S003C003P007R002A060	    80    	  9   	  0   	  0  	 1 
S003C003P008R002A060	    94    	  34  	  0   	  0  	 1 
S003C003P015R001A057	   109    	  69  	  0   	  0  	 1 
S003C003P019R002A059	    83    	  2   	  0   	  0  	 1 
S004C001P003R002A060	   112    	  61  	  0   	  1  	 1 
S004C001P020R001A060	   115    	  30  	  0   	  0  	 1 
S004C001P020R002A060	   127    	  49  	  0   	  0  	 1 
S004C002P003R001A059	    64    	  11  	  0   	  1  	 0 
S004C002P003R002A060	   115    	  19  	  0   	  0  	 1 
S004C002P008R001A060	    91    	  3   	  0   	  0  	 1 
S004C002P020R001A059	   106    	  39  	  0   	  1  	 0 
