      Skeleton      	num_frames	Actor1	Actor2
S001C001P001R002A059	   132    	  0   	  54  
S001C001P001R002A060	    99    	  0   	  17  
S001C001P002R002A060	    81    	  0   	  4   
S001C001P003R002A060	    91    	  0   	  9   
S001C001P004R002A060	    92    	  0   	  16  
S001C001P005R002A060	    86    	  0   	  11  
S001C001P007R002A059	    90    	  0   	  62  
S001C001P008R001A059	    87    	  0   	  35  
S001C001P008R002A059	    94    	  0   	  69  
S001C001P008R002A060	    91    	  0   	  19  
S001C002P001R001A022	   110    	  0   	  56  
S001C002P001R001A059	    99    	  0   	  44  
S001C002P001R002A059	   100    	  0   	  25  
S001C002P001R002A060	    87    	  0   	  9   
S001C002P002R001A012	   169    	  0   	 131  
S001C002P002R001A013	   105    	  0   	  57  
S001C002P002R001A059	    94    	  0   	  58  
S001C002P002R002A059	    98    	  0   	  39  
S001C002P002R002A060	    81    	  0   	  4   
S001C002P004R002A059	   103    	  0   	  37  
S001C002P005R001A059	    81    	  0   	  35  
S001C002P005R002A060	    86    	  0   	  1   
S001C002P006R002A059	    93    	  0   	  48  
S001C002P007R002A059	    90    	  0   	  53  
S001C002P007R002A060	    78    	  0   	  1   
S001C002P008R001A059	    88    	  0   	  47  
S001C002P008R002A059	    94    	  0   	  58  
S001C002P008R002A060	    86    	  0   	  2   
S001C003P001R001A055	    88    	  0   	  40  
S001C003P001R001A059	    99    	  0   	  68  
S001C003P001R001A060	    93    	  0   	  1   
S001C003P001R002A059	   131    	  0   	  78  
S001C003P001R002A060	    98    	  0   	  23  
S001C003P002R001A059	    94    	  0   	  64  
S001C003P002R002A060	    80    	  0   	  3   
S001C003P003R001A059	    91    	  0   	  50  
S001C003P003R002A059	    92    	  0   	  46  
S001C003P004R002A009	    53    	  0   	  53  
S001C003P005R001A059	    81    	  0   	  49  
S001C003P006R001A059	    94    	  0   	  63  
S001C003P007R001A059	    91    	  0   	  55  
S001C003P007R001A060	    75    	  0   	  3   
S001C003P008R001A060	    86    	  0   	  15  
S001C003P008R002A060	    91    	  0   	  15  
S002C001P003R001A059	    96    	  0   	  50  
S002C001P009R001A059	    85    	  0   	  29  
S002C001P009R001A060	    81    	  0   	  11  
S002C001P009R002A060	    90    	  0   	  19  
S002C001P011R002A059	    80    	  0   	  32  
S002C001P013R002A060	    74    	  0   	  18  
S002C001P014R001A059	    99    	  0   	  53  
S002C002P003R001A060	    78    	  0   	  6   
S002C002P003R002A059	   106    	  0   	  85  
S002C002P007R001A059	    77    	  0   	  25  
S002C002P007R002A059	   104    	  0   	  54  
S002C002P007R002A060	    81    	  0   	  6   
S002C002P008R001A060	    76    	  0   	  45  
S002C002P009R002A059	    72    	  0   	  56  
S002C002P009R002A060	    91    	  0   	  27  
S002C002P010R001A055	    72    	  0   	  38  
S002C002P010R001A060	    92    	  0   	  26  
S002C002P010R002A051	    82    	  0   	  1   
S002C002P010R002A052	    63    	  0   	  1   
S002C002P010R002A053	    79    	  0   	  1   
S002C002P010R002A059	    83    	  0   	  68  
S002C002P010R002A060	   100    	  0   	  39  
S002C002P011R002A055	    77    	  0   	  35  
S002C002P013R002A052	    68    	  0   	  10  
S002C002P013R002A059	    85    	  0   	  71  
S002C002P013R002A060	    75    	  0   	  22  
S002C002P014R001A055	    64    	  0   	  24  
S002C002P014R002A056	    72    	  1   	  1   
S002C002P014R002A059	    81    	  0   	  42  
S002C002P014R002A060	    91    	  0   	  28  
S002C003P003R001A059	    97    	  0   	  47  
S002C003P003R001A060	    78    	  0   	  16  
S002C003P007R002A059	   103    	  0   	  37  
S002C003P008R001A060	    75    	  0   	  10  
S002C003P008R002A060	    98    	  0   	  68  
S002C003P009R001A059	    86    	  0   	  54  
S002C003P009R001A060	    81    	  0   	  21  
S002C003P009R002A060	    91    	  0   	  8   
S002C003P010R001A057	   105    	  1   	  1   
S002C003P010R001A059	   110    	  0   	  65  
S002C003P010R002A050	    44    	  0   	  1   
S002C003P010R002A051	    83    	  0   	  1   
S002C003P010R002A053	    77    	  0   	  1   
S002C003P011R001A059	   101    	  0   	  86  
S002C003P011R001A060	    71    	  0   	  8   
S002C003P013R001A060	    72    	  0   	  57  
S002C003P014R001A059	    98    	  0   	  70  
S002C003P014R001A060	    60    	  0   	  6   
S002C003P014R002A055	    51    	  10  	  10  
S002C003P014R002A056	    71    	  1   	  1   
S002C003P014R002A057	    82    	  1   	  1   
S002C003P014R002A058	    65    	  1   	  1   
S002C003P014R002A060	    91    	  1   	  19  
S003C001P001R002A060	    65    	  0   	  10  
S003C001P007R001A059	   100    	  0   	  58  
S003C001P007R001A060	    82    	  0   	  6   
S003C001P007R002A060	    80    	  0   	  14  
S003C001P008R001A059	    50    	  0   	  18  
S003C001P008R002A060	    75    	  0   	  33  
S003C001P015R002A060	    81    	  0   	  10  
S003C001P018R002A060	    83    	  0   	  18  
S003C001P019R002A059	    82    	  0   	  48  
S003C001P019R002A060	    88    	  0   	  12  
S003C002P001R002A060	    66    	  0   	  9   
S003C002P002R001A059	    64    	  0   	  41  
S003C002P002R001A060	    67    	  0   	  1   
S003C002P002R002A017	    91    	  0   	  91  
S003C002P002R002A059	   116    	  0   	  71  
S003C002P002R002A060	    63    	  0   	  49  
S003C002P007R001A060	    84    	  0   	  12  
S003C002P007R002A059	   107    	  13  	  62  
S003C002P008R001A060	    98    	  30  	  30  
S003C002P008R002A060	    92    	  3   	  63  
S003C002P015R002A060	    83    	  6   	  42  
S003C002P017R001A055	    47    	  4   	  4   
S003C002P018R001A059	    96    	  0   	  28  
S003C002P019R002A060	    88    	  0   	  70  
S003C003P001R002A060	    65    	  3   	  29  
S003C003P002R001A059	   101    	  0   	 101  
S003C003P002R001A060	    67    	  0   	  44  
S003C003P007R001A060	    84    	  0   	  38  
S003C003P008R002A042	   112    	  0   	  14  
S003C003P015R001A055	    76    	  0   	  40  
S003C003P015R001A060	    65    	  0   	  33  
S003C003P016R001A060	    88    	  0   	  1   
S003C003P016R002A060	    83    	  0   	  50  
S003C003P019R001A059	    93    	  0   	  50  
S003C003P019R001A060	    73    	  0   	  6   
S003C003P019R002A060	    87    	  0   	  48  
S004C001P007R002A060	    91    	  0   	  3   
S004C001P008R001A060	    91    	  0   	  3   
S004C001P008R002A060	    91    	  0   	  36  
S004C001P020R001A059	   106    	  0   	  76  
S004C002P003R002A059	    98    	  0   	  64  
S004C002P020R002A059	    97    	  0   	  57  
S004C003P003R001A059	    76    	  0   	  42  
S004C003P007R001A060	    76    	  0   	  52  
S004C003P020R001A008	   105    	  0   	  60  
S005C001P004R001A059	    58    	  0   	  8   
