      Skeleton      	     bodyID      	 Motion 	Length
S001C002P004R002A052	72057594037938059	0.160523	  7   
S001C002P007R002A056	72057594037942110	0.207407	  1   
S001C002P007R002A057	72057594037942110	0.207407	  1   
S001C002P007R002A058	72057594037942110	0.207407	  1   
S001C003P001R002A059	72057594037934148	0.236972	  1   
S001C003P002R002A001	72057594037934093	0.154156	  1   
S001C003P002R002A001	72057594037934193	0.149315	  1   
S001C003P002R002A002	72057594037934093	0.154156	  1   
S001C003P002R002A002	72057594037934193	0.149315	  1   
S001C003P002R002A003	72057594037934093	0.154156	  1   
S001C003P002R002A003	72057594037934193	0.149315	  1   
S001C003P002R002A005	72057594037934439	0.176432	  1   
S001C003P002R002A006	72057594037934439	0.176432	  1   
S001C003P002R002A007	72057594037934439	0.176432	  1   
S001C003P002R002A008	72057594037934439	0.176432	  1   
S001C003P002R002A008	72057594037934584	0.166834	  1   
S001C003P002R002A009	72057594037934439	0.176432	  1   
S001C003P002R002A009	72057594037934584	0.166834	  1   
S001C003P002R002A010	72057594037934439	0.176432	  1   
S001C003P002R002A011	72057594037934439	0.176432	  1   
S001C003P002R002A013	72057594037934439	0.176432	  1   
S001C003P002R002A014	72057594037934439	0.176432	  1   
S001C003P002R002A015	72057594037934439	0.176432	  1   
S001C003P008R001A059	72057594037944413	0.187074	  9   
S002C002P003R001A059	72057594037932655	0.171537	  3   
S002C002P010R002A018	72057594037931469	0.160261	  2   
S002C002P010R002A019	72057594037931469	0.148187	  1   
S002C002P010R002A020	72057594037931469	0.148187	  1   
S002C002P014R002A056	72057594037942853	0.166238	  1   
S002C002P014R002A056	72057594037942812	0.194847	  1   
S002C002P014R002A059	72057594037942859	0.160468	  1   
S002C002P014R002A060	72057594037942859	0.160468	  1   
S002C003P010R001A057	72057594037930100	0.217715	  1   
S002C003P010R001A057	72057594037929795	0.172322	  1   
S002C003P010R001A059	72057594037930360	0.228896	  1   
S002C003P010R001A060	72057594037930360	0.228896	  1   
S002C003P010R002A001	72057594037930361	0.174936	  1   
S002C003P010R002A001	72057594037930360	0.228896	  1   
S002C003P010R002A002	72057594037930361	0.174936	  1   
S002C003P010R002A002	72057594037930360	0.228896	  1   
S002C003P010R002A003	72057594037930361	0.174936	  1   
S002C003P010R002A003	72057594037930360	0.228896	  1   
S002C003P010R002A004	72057594037930361	0.174936	  1   
S002C003P010R002A004	72057594037930360	0.228896	  1   
S002C003P010R002A004	72057594037930696	0.181153	  1   
S002C003P010R002A005	72057594037930361	0.174936	  1   
S002C003P010R002A005	72057594037930360	0.228896	  1   
S002C003P010R002A020	72057594037930785	0.181265	  1   
S002C003P010R002A021	72057594037930785	0.181265	  1   
S002C003P010R002A022	72057594037930785	0.181265	  1   
S002C003P010R002A030	72057594037930854	0.173059	  2   
S002C003P010R002A031	72057594037930854	0.173479	  1   
S002C003P010R002A032	72057594037930854	0.173479	  1   
S002C003P010R002A033	72057594037930854	0.173479	  1   
S002C003P010R002A034	72057594037930854	0.173479	  1   
S002C003P010R002A035	72057594037930854	0.173479	  1   
S002C003P014R002A055	72057594037940543	0.229904	  10  
S002C003P014R002A056	72057594037940532	0.166028	  1   
S002C003P014R002A056	72057594037940494	0.226722	  1   
S002C003P014R002A057	72057594037940532	0.166028	  1   
S002C003P014R002A057	72057594037940494	0.226722	  1   
S002C003P014R002A058	72057594037940532	0.166028	  1   
S002C003P014R002A058	72057594037940494	0.226722	  1   
S002C003P014R002A059	72057594037940532	0.166028	  1   
S002C003P014R002A059	72057594037940494	0.226722	  1   
S002C003P014R002A060	72057594037940532	0.166028	  1   
S002C003P014R002A060	72057594037940494	0.226722	  1   
S003C001P015R002A052	72057594037940201	0.159831	  3   
S003C002P001R002A059	72057594037954161	0.172209	  3   
S003C002P017R001A055	72057594037947035	0.144992	  4   
S003C003P001R001A059	72057594037949098	0.153207	  5   
S003C003P008R001A059	72057594037950090	0.202617	  6   
S003C003P015R001A059	72057594037942527	0.177944	  10  
S004C001P003R001A015	72057594037933268	0.106267	  3   
S004C003P003R001A035	72057594037931618	0.037139	  6   
S004C003P007R001A060	72057594037928835	1.176354	  3   
S005C001P016R002A060	72057594037936951	0.141761	  10  
